FILM_ID|ACTOR_ID
694|65
839|68
26|130
149|120
209|107
802|157
413|182
964|152
982|174
159|149
129|195
386|53
518|61
406|62
161|87
993|51
781|107
917|137
304|81
893|21
650|110
552|50
212|89
534|107
91|12
935|23
136|106
31|2
296|171
722|174
319|167
925|170
163|86
242|82
87|56
597|28
542|122
758|16
909|146
706|143
438|168
613|127
442|175
188|168
699|44
249|63
219|191
517|52
714|200
618|192
978|99
353|157
670|19
497|82
937|193
951|52
615|152
17|3
15|105
6|21
421|165
186|26
105|116
949|149
431|129
262|90
473|144
364|86
238|128
623|86
858|90
289|177
85|5
444|29
254|58
139|170
307|64
732|30
598|44
993|114
163|194
255|68
987|147
553|135
969|113
205|11
970|54
423|172
865|72
670|140
771|90
341|167
573|176
81|132
39|104
80|193
925|45
49|119
275|94
840|158
465|81
935|76
730|5
957|85
482|151
466|40
409|107
637|107
243|12
297|121
372|105
668|191
38|166
836|126
398|4
983|10
36|73
427|32
500|17
76|187
216|86
277|1
920|39
29|197
121|83
16|146
507|21
254|147
450|112
260|80
533|189
233|139
571|65
342|89
642|169
385|90
970|138
89|43
697|53
673|42
655|101
910|129
253|60
979|197
169|164
930|55
936|8
60|101
200|102
693|140
322|112
208|63
282|139
668|144
154|33
478|130
801|191
772|39
303|157
177|97
618|3
43|34
96|126
628|197
857|140
929|10
734|98
837|196
590|155
446|138
768|187
88|194
146|171
368|31
920|129
705|156
834|68
755|58
162|176
512|189
331|68
385|71
785|163
410|132
538|200
663|74
401|104
895|103
673|195
662|188
717|88
563|177
696|128
66|76
1|1
688|22
705|174
362|149
715|183
222|39
821|152
337|117
548|86
815|100
827|174
129|175
434|163
606|102
414|23
813|95
636|11
779|34
720|69
894|106
208|159
467|73
694|77
583|16
384|116
622|180
298|147
671|187
477|37
650|59
703|151
190|109
36|96
67|155
712|33
366|20
432|117
374|190
73|176
622|80
628|167
95|185
786|109
961|114
509|140
551|82
527|151
404|25
129|197
823|70
594|15
142|60
424|66
686|21
885|121
953|150
294|167
42|3
940|51
401|161
494|123
616|64
3|19
967|184
693|119
775|156
108|52
758|137
923|86
530|78
43|126
520|86
868|90
585|103
197|146
201|35
648|61
178|147
287|104
713|157
6|197
649|61
155|12
220|107
546|95
522|13
194|106
800|159
166|1
250|99
878|86
672|12
570|139
389|35
812|85
691|7
282|154
731|146
631|149
168|150
697|25
42|62
48|58
518|2
592|195
661|184
437|181
90|34
63|197
540|27
483|158
666|121
480|3
197|117
445|62
643|103
263|83
612|77
199|58
121|51
618|92
43|141
575|196
929|34
497|143
554|197
158|122
25|7
737|33
216|199
695|27
56|33
453|130
284|196
80|16
999|52
709|55
549|78
849|141
658|65
341|141
378|68
220|155
751|44
39|191
600|159
773|188
177|12
762|144
858|4
172|107
833|165
361|125
562|190
856|14
647|150
54|190
459|117
920|21
223|76
78|169
188|141
149|200
502|34
854|44
650|9
502|42
576|183
842|23
612|55
463|45
662|92
896|11
246|123
199|103
973|185
458|77
469|160
445|93
252|41
175|177
860|123
877|170
9|175
222|121
827|38
112|140
797|30
561|82
571|13
620|136
414|7
420|12
116|113
226|148
914|35
777|47
898|152
303|155
742|140
768|46
285|103
290|82
501|38
858|80
409|145
367|79
654|122
609|172
468|126
844|56
364|159
593|123
452|69
679|60
573|127
659|143
510|9
177|40
188|161
134|63
782|98
385|47
729|81
544|191
741|108
313|183
371|184
347|198
431|130
877|69
591|50
921|161
120|93
23|22
305|41
436|131
769|195
446|137
911|127
680|159
828|101
506|48
710|117
285|53
280|15
1|162
835|157
809|63
667|33
689|193
366|127
678|41
646|29
833|23
520|195
495|183
90|144
970|1
230|79
838|12
643|111
463|104
987|124
784|44
241|106
322|113
262|156
213|25
614|192
466|70
852|64
312|48
357|2
535|5
364|135
489|179
869|130
545|81
320|131
932|63
41|135
660|160
637|27
529|102
649|119
719|194
988|154
405|173
806|7
262|198
90|26
245|77
926|117
359|43
732|50
220|121
536|22
692|81
961|122
780|75
360|110
141|127
188|97
243|134
228|144
673|122
876|38
145|2
476|152
233|71
839|176
348|76
460|58
177|158
39|145
483|178
510|19
175|80
343|80
846|34
985|184
622|166
925|90
604|76
618|99
286|185
150|54
588|154
269|161
856|23
843|13
653|116
737|47
354|187
893|63
639|103
234|88
552|9
383|41
2|90
508|37
605|102
32|162
202|5
166|129
394|119
924|179
485|143
588|133
620|99
644|59
113|124
457|143
389|183
677|104
978|101
775|94
297|156
914|183
468|82
529|90
536|198
811|179
812|12
637|31
587|10
343|124
816|181
548|187
173|7
990|51
574|107
600|104
52|138
971|3
92|12
540|142
766|61
88|69
874|190
667|75
189|197
243|109
67|141
658|54
807|80
421|87
744|111
731|140
35|139
570|198
881|131
714|36
191|10
198|104
719|62
205|8
784|159
251|76
962|195
838|82
607|68
880|78
131|151
843|84
822|103
466|69
215|81
988|188
230|41
692|167
120|131
585|31
292|54
502|15
309|42
111|38
154|14
713|94
452|96
792|143
751|119
729|84
72|149
6|62
753|79
862|141
747|74
307|61
485|102
560|189
745|184
768|148
326|166
398|62
781|63
101|57
933|40
829|91
508|53
564|173
672|150
621|50
401|176
797|174
839|82
53|149
622|109
263|126
840|37
765|76
625|171
694|10
934|140
844|162
804|168
399|2
27|99
312|84
437|103
791|69
487|145
458|107
120|110
782|84
852|173
126|95
820|140
169|149
987|155
934|106
761|85
869|112
669|129
647|131
412|119
964|9
273|27
458|176
486|96
503|16
169|154
499|198
806|190
47|143
606|87
700|112
769|66
794|17
841|137
90|161
656|97
875|131
952|115
955|115
836|181
887|117
341|52
460|18
12|75
570|48
251|10
411|127
714|45
959|184
635|15
250|134
14|85
744|178
463|109
649|147
6|137
119|128
574|162
503|27
776|144
25|4
634|22
462|193
817|35
731|36
705|38
272|189
122|37
347|68
318|103
807|114
153|149
98|194
170|121
412|193
133|148
947|53
454|107
10|35
376|52
980|49
802|31
881|88
687|5
664|187
865|42
997|37
434|44
121|158
826|160
719|175
629|150
247|129
706|87
181|171
733|108
746|176
101|129
482|29
202|127
517|65
448|164
726|145
243|145
657|41
721|41
263|137
990|62
683|39
794|142
43|123
717|57
147|43
968|162
153|152
475|85
767|45
710|127
7|99
791|127
145|134
475|192
402|147
229|92
86|166
396|188
781|24
463|24
249|83
320|96
353|113
890|113
314|146
95|165
668|182
58|96
715|36
615|35
24|38
831|39
750|51
702|59
842|175
286|127
67|175
637|132
374|90
67|199
988|101
2|85
809|180
909|162
605|139
379|115
596|175
536|18
956|177
100|172
286|165
425|114
882|189
338|121
983|21
320|146
326|169
55|177
615|115
353|38
618|33
892|139
985|15
329|95
85|85
27|154
513|110
446|89
122|196
852|57
779|16
600|22
562|73
749|77
999|104
141|195
253|165
333|127
133|133
508|81
519|189
23|1
864|89
396|154
425|39
899|128
433|168
194|24
986|27
154|173
541|75
512|94
770|188
940|182
412|83
649|177
706|195
295|147
627|138
197|103
817|198
636|99
680|154
711|85
764|177
693|108
889|168
475|152
876|42
429|21
285|156
879|138
392|195
203|13
1|40
828|193
430|107
448|156
63|20
48|127
967|16
736|39
485|2
175|143
441|180
853|189
115|45
126|110
557|64
827|177
728|97
638|191
671|68
874|180
735|142
170|88
984|59
523|32
447|57
881|163
555|158
915|52
820|189
431|164
176|44
561|73
506|104
278|108
797|117
306|89
478|46
542|49
691|4
256|24
69|80
148|9
491|141
635|12
427|13
470|92
565|30
605|6
980|101
457|78
978|31
416|170
475|99
287|48
280|93
657|109
24|157
349|169
853|79
31|15
59|104
320|94
292|69
770|7
88|31
74|139
217|7
106|173
590|29
389|34
15|117
913|54
188|149
848|74
652|108
551|191
207|141
876|159
489|122
901|90
552|78
298|56
160|137
110|13
391|49
530|105
686|83
580|184
515|196
305|65
970|89
429|125
853|38
849|188
973|107
128|58
358|141
36|127
699|176
212|23
55|173
241|168
449|29
188|125
904|104
181|91
173|190
403|195
9|130
745|137
17|82
827|55
851|56
280|105
95|149
829|98
143|75
828|102
578|192
76|94
729|186
261|78
277|37
311|29
266|19
25|47
118|11
489|54
893|56
24|179
391|182
66|101
284|139
383|56
967|27
379|108
906|142
457|106
368|148
419|23
369|83
223|141
233|47
754|54
732|179
538|77
66|45
850|11
732|26
764|130
622|174
528|13
326|157
194|81
205|79
559|39
944|29
206|131
51|46
690|143
912|41
568|92
42|117
859|107
57|148
700|113
587|196
238|176
550|117
164|48
971|68
817|5
420|95
663|20
800|17
260|144
203|153
117|23
875|44
613|164
168|187
585|106
724|180
89|81
726|67
105|29
874|17
254|13
596|52
705|129
744|102
641|145
381|99
253|37
424|52
68|114
56|136
583|104
206|150
462|43
457|56
312|124
914|191
438|1
430|96
460|84
197|55
737|165
972|196
276|196
320|176
368|133
751|177
939|196
49|200
40|96
869|180
128|88
246|169
796|99
502|57
981|113
8|110
159|179
758|101
260|78
542|89
245|95
88|64
886|198
861|54
241|158
911|181
915|67
347|75
45|68
861|114
561|138
375|62
208|130
120|98
981|62
707|35
148|24
412|188
491|22
249|41
441|176
172|29
462|27
782|119
299|31
311|198
465|192
508|170
540|12
921|149
856|93
21|25
847|169
504|142
545|126
387|155
13|77
468|179
492|20
243|197
920|45
4|88
259|104
631|12
281|109
840|141
760|76
892|168
641|120
725|67
324|125
433|61
228|94
361|155
395|165
521|17
72|85
54|20
498|95
173|119
397|133
757|20
345|128
628|135
779|165
613|143
702|130
224|137
858|119
626|167
956|36
908|125
279|18
590|120
642|157
18|162
92|52
64|124
226|25
61|111
19|104
673|141
659|165
526|161
453|82
758|198
944|44
749|1
513|120
744|108
417|176
633|7
195|49
170|135
893|105
33|82
107|142
688|155
456|46
186|121
507|181
454|119
161|134
991|46
418|22
212|41
224|77
267|57
352|194
953|171
431|157
191|141
850|76
666|73
744|93
656|118
112|51
621|93
168|174
832|164
36|116
166|192
870|76
989|138
723|29
495|14
214|138
910|81
596|191
140|1
909|4
157|138
607|104
737|51
291|144
537|170
980|64
915|36
763|63
194|114
538|132
362|182
167|117
182|34
11|81
561|187
54|62
944|47
863|20
94|92
522|163
805|7
840|68
732|35
84|44
539|181
351|133
87|184
538|46
56|43
769|56
847|180
131|29
129|59
416|91
904|26
176|91
33|136
437|182
262|136
944|63
336|41
463|7
574|71
955|109
385|133
633|121
210|133
626|74
949|125
788|166
360|165
585|24
731|22
199|142
339|83
912|103
452|130
829|50
135|140
981|23
637|74
427|185
291|179
971|191
967|197
414|100
714|20
612|14
286|181
437|57
503|45
7|162
553|97
306|50
538|25
148|85
560|143
56|129
307|56
234|190
238|122
349|22
179|111
32|168
646|79
401|32
178|117
402|94
981|63
903|9
682|190
706|66
29|122
499|36
990|98
409|162
584|155
314|2
781|195
401|177
416|130
480|91
378|189
462|200
680|93
955|98
703|137
358|170
131|179
205|68
593|12
352|193
43|160
600|13
902|44
855|90
978|45
148|123
962|111
273|29
926|123
985|82
292|14
458|135
375|95
503|82
299|154
492|116
530|123
963|180
646|156
725|98
587|140
481|142
377|105
117|74
983|178
79|29
644|161
124|17
