FILM_ID|TITLE|DESCRIPTION|RENTAL_RATE|RATING|SPECIAL_FEATURES|GENRE
330|FORRESTER COMANCHEROS|A Fateful Tale of a Squirrel And a Forensic Psychologist who must Redeem a Man in Nigeria|4.99|NC-17|Trailers,Behind the Scenes|Animation
949|VOLCANO TEXAS|A Awe-Inspiring Yarn of a Hunter And a Feminist who must Challenge a Dentist in The Outback|0.99|NC-17|Trailers,Commentaries,Deleted Scenes,Behind the Scenes|Games
457|INDEPENDENCE HOTEL|A Thrilling Tale of a Technical Writer And a Boy who must Face a Pioneer in A Monastery|0.99|NC-17|Trailers,Behind the Scenes|Documentary
517|LESSON CLEOPATRA|A Emotional Display of a Man And a Explorer who must Build a Boy in A Manhattan Penthouse|0.99|NC-17|Deleted Scenes,Behind the Scenes|Sports
641|ORANGE GRAPES|A Astounding Documentary of a Butler And a Womanizer who must Face a Dog in A U-Boat|0.99|PG-13|Trailers,Commentaries|Foreign
844|STEERS ARMAGEDDON|A Stunning Character Study of a Car And a Girl who must Succumb a Car in A MySQL Convention|4.99|PG|Trailers,Commentaries,Deleted Scenes,Behind the Scenes|Sports
190|CREEPERS KANE|A Awe-Inspiring Reflection of a Squirrel And a Boat who must Outrace a Car in A Jet Boat|4.99|NC-17|Trailers,Behind the Scenes|Classics
304|FARGO GANDHI|A Thrilling Reflection of a Pastry Chef And a Crocodile who must Reach a Teacher in The Outback|2.99|G|Deleted Scenes|Children
310|FEVER EMPIRE|A Insightful Panorama of a Cat And a Boat who must Defeat a Boat in The Gulf of Mexico|4.99|R|Commentaries,Deleted Scenes|Games
349|GANGS PRIDE|A Taut Character Study of a Woman And a A Shark who must Confront a Frisbee in Berlin|2.99|PG-13|Behind the Scenes|Animation
340|FRONTIER CABIN|A Emotional Story of a Madman And a Waitress who must Battle a Teacher in An Abandoned Fun House|4.99|PG-13|Commentaries,Deleted Scenes|New
776|SECRET GROUNDHOG|A Astounding Story of a Cat And a Database Administrator who must Build a Technical Writer in New Orleans|4.99|PG|Commentaries,Deleted Scenes|Documentary
